Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
Rotom-Frost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Mow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uxie,Confusion,Extrasensory,Future Sight,Swift,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesprit,Blizzard,Confusion,Extrasensory,Future Sight,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azelf,Confusion,Extrasensory,Fire Blast,Future Sight,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialga,Draco Meteor,Dragon Breath,Iron Head,Metal Claw,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palkia,Aqua Tail,Draco Meteor,Dragon Breath,Dragon Tail,Fire Blast,Hydro Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heatran,Bug Bite,Fire Blast,Fire Spin,Flamethrower,Iron Head,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regigigas,Focus Blast,Giga Impact,Hidden Power,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giratina,Ancient Power,Dragon Breath,Dragon Claw,Shadow Claw,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giratina-Origin,Dragon Pulse,Dragon Tail,Ominous Wind,Shadow Ball,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cresselia,Aurora Beam,Confusion,Future Sight,Moonblast,Psycho Cut,* Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phione,Bubble,Bubble Beam,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manaphy,Bubble,Bubble Beam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkrai,Dark Pulse,Feint Attack,Focus Blast,Shadow Ball,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaymin,Energy Ball,Grass Knot,Hidden Power,Solar Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaymin-Sky,Energy Ball,Grass Knot,Hidden Power,Solar Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Bug,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Dark,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Dragon,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Electric,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Fairy,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Fighting,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Fire,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Flying,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Ghost,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Grass,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Ground,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Ice,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Poison,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Psychic,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Rock,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Steel,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus-Water,Future Sight,Hyper Beam,Iron Tail,Outrage,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victini,Confusion,Focus Blast,Overheat,Psychic,Quick Attack,V-Create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snivy,Energy Ball,Seed Bomb,Tackle,Vine Whip,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servine,Grass Knot,Iron Tail,Leaf Tornado,Vine Whip,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serperior,Aerial Ace,Grass Knot,Iron Tail,Leaf Tornado,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tepig,Body Slam,Ember,Flame Charge,Flamethrower,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pignite,Ember,Flame Charge,Flamethrower,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emboar,Ember,Flame Charge,Focus Blast,Heat Wave,Low Kick,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oshawott,Aqua Tail,Night Slash,Tackle,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewott,Aqua Tail,Fury Cutter,Water Gun,Water Pulse,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurott,Blizzard,Fury Cutter,Hydro Pump,Megahorn,Razor Shell,Waterfall,* Hydro Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrat,Bite,Dig,Grass Knot,Hyper Fang,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watchog,Bite,Crunch,Grass Knot,Hyper Fang,Low Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lillipup,Dig,Rock Tomb,Tackle,Take Down,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herdier,Dig,Lick,Play Rough,Take Down,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoutland,Crunch,Ice Fang,Lick,Play Rough,Take Down,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purrloin,Dark Pulse,Night Slash,Play Rough,Scratch,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liepard,Charm,Dark Pulse,Gunk Shot,Payback,Play Rough,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pansage,Crunch,Energy Ball,Scratch,Seed Bomb,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simisage,Bite,Crunch,Grass Knot,Solar Beam,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pansear,Crunch,Fire Spin,Flame Burst,Flame Charge,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simisear,Bite,Crunch,Fire Blast,Fire Spin,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panpour,Crunch,Scratch,Surf,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simipour,Bite,Crunch,Hydro Pump,Surf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munna,Charge Beam,Dazzling Gleam,Psybeam,Psyshock,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musharna,Charge Beam,Dazzling Gleam,Future Sight,Psyshock,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidove,Aerial Ace,Air Cutter,Air Slash,Heat Wave,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tranquill,Aerial Ace,Air Slash,Heat Wave,Sky Attack,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unfezant,Air Slash,Heat Wave,Hyper Beam,Sky Attack,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blitzle,Discharge,Flame Charge,Quick Attack,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zebstrika,Discharge,Flame Charge,Low Kick,Spark,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roggenrola,Bulldoze,Power Gem,Rock Blast,Smack Down,Stone Edge,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldore,Bulldoze,Mud Slap,Rock Slide,Smack Down,Solar Beam,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigalith,Heavy Slam,Mud Slap,Rock Slide,Smack Down,Solar Beam,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woobat,Aerial Ace,Air Cutter,Air Slash,Confusion,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swoobat,Aerial Ace,Air Slash,Confusion,Future Sight,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drilbur,Dig,Drill Run,Mud Slap,Rock Tomb,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excadrill,Drill Run,Earthquake,Iron Head,Metal Claw,Mud Shot,Mud Slap,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audino,Dazzling Gleam,Disarming Voice,Hyper Beam,Pound,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timburr,Brick Break,Low Kick,Low Sweep,Pound,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurdurr,Brick Break,Low Kick,Low Sweep,Poison Jab,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conkeldurr,Counter,Dynamic Punch,Focus Blast,Poison Jab,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tympole,Bubble,Mud Bomb,Mud Shot,Sludge Wave,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palpitoad,Bubble,Earth Power,Mud Shot,Sludge Wave,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismitoad,Bubble,Earth Power,Mud Shot,Muddy Water,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throh,Body Slam,Focus Blast,Low Kick,Low Sweep,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sawk,Body Slam,Focus Blast,Low Kick,Low Sweep,Poison Jab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewaddle,Bug Bite,Energy Ball,Seed Bomb,Silver Wind,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swadloon,Bug Bite,Bug Buzz,Energy Ball,Silver Wind,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leavanny,Bug Bite,Leaf Blade,Leaf Storm,Razor Leaf,Silver Wind,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venipede,Bug Bite,Gyro Ball,Poison Sting,Signal Beam,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whirlipede,Bug Bite,Gyro Ball,Poison Sting,Signal Beam,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scolipede,Bug Bite,Gyro Ball,Megahorn,Poison Jab,Sludge Bomb,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonee,Charm,Energy Ball,Grass Knot,Razor Leaf,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whimsicott,Charm,Grass Knot,Hurricane,Moonblast,Razor Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petilil,Charm,Energy Ball,Hidden Power,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilligant,Charm,Hidden Power,Hyper Beam,Petal Blizzard,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basculin,Aqua Jet,Aqua Tail,Muddy Water,Tackle,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basculin-Blue-Striped,Aqua Jet,Aqua Tail,Muddy Water,Tackle,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandile,Bite,Bulldoze,Crunch,Dig,Mud Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krokorok,Bite,Bulldoze,Crunch,Earthquake,Mud Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krookodile,Crunch,Earthquake,Mud Slap,Outrage,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darumaka,Fire Fang,Fire Punch,Flame Charge,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darumaka-Galar,Ice Beam,Ice Fang,Ice Punch,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darmanitan,Fire Fang,Focus Blast,Incinerate,Overheat,Psychic,Rock Slide,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darmanitan-Galar,Avalanche,Ice Fang,Ice Punch,Overheat,Superpower,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darmanitan-Galar-Zen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darmanitan-Zen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maractus,Aerial Ace,Bullet Seed,Petal Blizzard,Poison Jab,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwebble,Cut,Rock Blast,Rock Tomb,Smack Down,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustle,Fury Cutter,Rock Blast,Rock Slide,Smack Down,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scraggy,Acid Spray,Brick Break,Feint Attack,Foul Play,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrafty,Acid Spray,Counter,Foul Play,Power-Up Punch,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigilyph,Air Cutter,Air Slash,Ancient Power,Psybeam,Signal Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamask,Astonish,Dark Pulse,Ominous Wind,Shadow Ball,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamask-Galar,Astonish,Night Shade,Rock Tomb,Sand Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofagrigus,Astonish,Dark Pulse,Psychic,Shadow Ball,Shadow Claw,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirtouga,Ancient Power,Bite,Body Slam,Surf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carracosta,Ancient Power,Body Slam,Rock Throw,Surf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archen,Ancient Power,Crunch,Dragon Claw,Quick Attack,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archeops,Ancient Power,Crunch,Dragon Claw,Steel Wing,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trubbish,Gunk Shot,Pound,Seed Bomb,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garbodor,Acid Spray,Body Slam,Gunk Shot,Infestation,Seed Bomb,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zorua,Aerial Ace,Dark Pulse,Feint Attack,Foul Play,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoroark,Flamethrower,Foul Play,Shadow Claw,Sludge Bomb,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minccino,Aqua Tail,Charm,Pound,Swift,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinccino,Aqua Tail,Charm,Hyper Beam,Pound,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothita,Confusion,Pound,Psybeam,Psychic,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothorita,Confusion,Future Sight,Pound,Psybeam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothitelle,Charm,Confusion,Future Sight,Psychic,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solosis,Hidden Power,Night Shade,Psyshock,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duosion,Hidden Power,Night Shade,Psyshock,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuniclus,Future Sight,Hidden Power,Shadow Ball,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducklett,Aerial Ace,Brave Bird,Bubble Beam,Water Gun,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swanna,Air Slash,Bubble Beam,Hurricane,Ice Beam,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanillite,Astonish,Ice Beam,Icy Wind,Powder Snow,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanillish,Astonish,Frost Breath,Ice Beam,Icy Wind,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilluxe,Astonish,Blizzard,Flash Cannon,Frost Breath,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deerling,Energy Ball,Seed Bomb,Tackle,Take Down,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sawsbuck,Feint Attack,Hyper Beam,Megahorn,Solar Beam,Take Down,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emolga,Aerial Ace,Discharge,Quick Attack,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karrablast,Aerial Ace,Drill Run,Fury Cutter,Peck,Signal Beam,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escavalier,Acid Spray,Aerial Ace,Bug Bite,Counter,Drill Run,Megahorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foongus,Astonish,Body Slam,Energy Ball,Feint Attack,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoonguss,Astonish,Feint Attack,Foul Play,Grass Knot,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frillish,Bubble,Hex,Ice Beam,Night Shade,Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jellicent,Bubble,Bubble Beam,Hex,Ice Beam,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alomomola,Blizzard,Hidden Power,Hydro Pump,Psychic,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joltik,Bug Buzz,Charge Beam,Cross Poison,Discharge,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galvantula,Bug Buzz,Cross Poison,Discharge,Energy Ball,Fury Cutter,Lunge,Volt Switch,**Charge Beam,**Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferroseed,Flash Cannon,Gyro Ball,Iron Head,Metal Claw,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrothorn,Acid Spray,Bullet Seed,Flash Cannon,Metal Claw,Mirror Shot,Power Whip,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klink,Charge Beam,Discharge,Vise Grip,Volt Switch,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klang,Charge Beam,Thunder Shock,Thunderbolt,Vise Grip,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klinklang,Charge Beam,Flash Cannon,Hyper Beam,Mirror Shot,Thunder Shock,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tynamo,Spark,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eelektrik,Acid,Crunch,Discharge,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eelektross,Acid,Acid Spray,Crunch,Dragon Claw,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgyem,Astonish,Confusion,Dark Pulse,Psybeam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beheeyem,Astonish,Confusion,Dark Pulse,Psychic,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litwick,Astonish,Ember,Flame Burst,Flame Charge,Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampent,Astonish,Ember,Energy Ball,Flame Burst,Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandelure,Energy Ball,Fire Spin,Flame Charge,Hex,Incinerate,Overheat,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axew,Aqua Tail,Dragon Claw,Dragon Pulse,Iron Tail,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxure,Aqua Tail,Dragon Claw,Dragon Tail,Iron Tail,Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haxorus,Counter,Dragon Claw,Dragon Tail,Earthquake,Night Slash,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubchoo,Charm,Ice Punch,Icy Wind,Play Rough,Powder Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beartic,Charm,Ice Punch,Play Rough,Powder Snow,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryogonal,Aurora Beam,Frost Breath,Ice Shard,Night Slash,Solar Beam,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelmet,Acid,Body Slam,Bug Buzz,Infestation,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelgor,Acid,Acid Spray,Bug Buzz,Focus Blast,Infestation,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stunfisk,Discharge,Mud Bomb,Mud Shot,Muddy Water,Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stunfisk-Galar,Earthquake,Flash Cannon,Metal Claw,Mud Shot,Muddy Water,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mienfoo,Brick Break,Focus Blast,Low Kick,Low Sweep,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mienshao,Brick Break,Grass Knot,Low Kick,Poison Jab,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Druddigon,Bite,Dragon Claw,Dragon Tail,Hyper Beam,Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golett,Astonish,Brick Break,Mud Slap,Night Shade,Shadow Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golurk,Astonish,Dynamic Punch,Earth Power,Mud Slap,Shadow Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawniard,Fury Cutter,Iron Head,Night Slash,Scratch,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bisharp,Dark Pulse,Focus Blast,Iron Head,Metal Claw,Snarl,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouffalant,Earthquake,Megahorn,Mud Shot,Skull Bash,Stomp,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufflet,Aerial Ace,Brave Bird,Peck,Rock Tomb,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braviary,Air Slash,Brave Bird,Close Combat,Heat Wave,Rock Slide,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vullaby,Air Slash,Brave Bird,Dark Pulse,Feint Attack,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandibuzz,Air Slash,Dark Pulse,Foul Play,Shadow Ball,Sky Attack,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heatmor,Fire Spin,Flamethrower,Lick,Power-Up Punch,Thunder Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durant,Bug Bite,Iron Head,Metal Claw,Stone Edge,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deino,Body Slam,Crunch,Dragon Breath,Dragon Pulse,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweilous,Bite,Body Slam,Dark Pulse,Dragon Breath,Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydreigon,Bite,Dark Pulse,Dragon Breath,Dragon Pulse,Flash Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larvesta,Bug Bite,Bug Buzz,Ember,Flame Charge,Flame Wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
